"Number","Ticket#","TicketID","Age","Title","Created","Last Changed","Close Time","Queue","State","Priority","Customer User","Customer ID","Service","SLA","Accounted time","EscalationDestinationIn","EscalationDestinationDate","EscalationTimeWorkingTime","EscalationTime","FirstResponse","FirstResponseInMin","FirstResponseDiffInMin","FirstResponseTimeWorkingTime","FirstResponseTimeEscalation","FirstResponseTimeNotification","FirstResponseTimeDestinationTime","FirstResponseTimeDestinationDate","FirstResponseTime","UpdateTimeEscalation","UpdateTimeNotification","UpdateTimeDestinationTime","UpdateTimeDestinationDate","UpdateTimeWorkingTime","UpdateTime","SolutionTime","SolutionInMin","SolutionDiffInMin","SolutionTimeWorkingTime","SolutionTimeEscalation","SolutionTimeNotification","SolutionTimeDestinationTime","SolutionTimeDestinationDate","SolutionTimeWorkingTime","First Lock","Lock","StateType","UntilTime","UnlockTimeout","EscalationResponseTime","EscalationSolutionTime","EscalationUpdateTime","RealTillTimeNotUsed","Number of Articles","Attachment","Process","Activity","Ticket Calendar End Time","Ticket Calendar Start Time","Criticality","Impact","Review Required","Decision Result","Repair Start Time","Recovery Start Time","Decision Date","Due Date","Cc"
"1","2022071310000019","1010","662 d 11 h","PROVISIONING OF OCJSERVER VM","2022-07-13 22:02:58","2022-07-15 08:15:52","2022-07-15 08:15:52","Virtualization","closed successful","4 high","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","795","644",,"0",,,"",,"2022-07-15 08:15:09","unlock","closed","0","1657862109","0","0","0","0","3","","","","","","","","","","","","","",""
"2","2022071510000024","1012","661 d 1 h","EFILLING SERVER KEEPS GOING DOWN","2022-07-15 08:10:26","2022-07-15 08:13:58","2022-07-15 08:13:58","Virtualization","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","3","1436",,"0",,,"",,"2022-07-15 08:11:41","unlock","closed","0","1657861901","0","0","0","0","3","","","","","","","","","","","","","",""
"3","2022072610000012","1027","649 d 20 h","CRTS SERVER NOT REACHABLE","2022-07-26 13:28:46","2022-07-26 21:11:32","2022-07-26 21:11:31","Virtualization","closed successful","4 high","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","451","988",,"0",,,"",,"2022-07-26 21:09:00","unlock","closed","0","1658858940","0","0","0","0","3","","","","","","","","","","","","","",""
"4","2022072710000011","1036","648 d 23 h","VMs UNREACHABLE AT ADC DC - FORTINET VMS","2022-07-27 10:13:44","2022-08-10 12:18:48","2022-08-10 12:18:48","Virtualization","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","2022-07-27 10:13:44","0","15",,"0",,,,,"0",,"0","","0",,"","7925","-6485",,"0",,,"",,"2022-08-10 12:17:19","unlock","closed","0","1660123039","0","0","0","0","2","","","","","","","","","","","","","",""
"5","2022072810000018","1054","648 d 3 h","TAC 'repair the filesystem with ""fsck"". '","2022-07-28 06:22:14","2022-08-10 12:21:58","2022-08-10 12:21:58","Storage","closed successful","4 high","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","7281","-5841",,"0",,,"",,"2022-08-10 12:21:06","unlock","closed","0","1660123266","0","0","0","0","3","","","","","","","","","","","","","",""
"6","2022072810000027","1055","648 d 3 h","Supreme Site Setup","2022-07-28 06:24:18","2022-08-10 12:20:45","2022-08-10 12:20:45","Virtualization","closed successful","5 very high","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","7280","-5840",,"0",,,"",,"2022-07-28 10:28:44","unlock","closed","0","1658993324","0","0","0","0","3","","","","","","","","","","","","","",""
"7","2022072810000045","1057","647 d 23 h","CREATING NEW DOMAIN JTI.GO.KE","2022-07-28 10:21:53","2022-08-10 12:19:39","2022-08-10 12:19:39","Software","closed successful","3 normal","charles.karani","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","7137","-5697",,"0",,,"",,"2022-08-10 12:19:16","unlock","closed","0","1660123156","0","0","0","0","3","","","","","","","","","","","","","",""
"8","2022081010000013","1071","634 d 21 h","DR VCENTRE NOT REACHABLE","2022-08-10 12:27:45","2022-08-10 14:28:11","2022-08-10 14:28:11","Virtualization","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","120","1319",,"0",,,"",,"2022-08-10 14:27:33","unlock","closed","0","1660130853","0","0","0","0","3","","","","","","","","","","","","","",""
"9","2022082210000018","1080","622 d 15 h","EFILLING SERVER - UNABLE TO POWER","2022-08-22 18:09:43","2022-09-11 10:41:58","2022-09-11 10:41:58","Virtualization","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","11090","-9650",,"0",,,"",,"2022-09-11 10:41:17","unlock","closed","0","1662882077","0","0","0","0","3","","","","","","","","","","","","","",""
"10","2022082410000032","1085","620 d 13 h","JSC PRIMARY ENVIRONMENT (ADC) REMOTE SUPPORT","2022-08-24 20:28:11","2022-09-11 10:43:53","2022-09-11 10:43:53","Virtualization","closed successful","5 very high","charles.karani","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021",,"0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","9391","0",,"0",,,"",,"2022-09-11 10:43:07","unlock","closed","0","1662882187","0","0","0","0","3","","","","","","","","","","","","","",""
"11","2022082910000014","1087","615 d 19 h","CREATING NEW EFILLING SERVER - UBUNTU","2022-08-29 14:08:48","2022-09-11 10:44:39","2022-09-11 10:44:39","Server","closed successful","5 very high","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021",,"0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","7431","0",,"0",,,"",,"2022-09-11 10:44:10","unlock","closed","0","1662882250","0","0","0","0","3","","","","","","","","","","","","","",""
"12","2022082910000023","1088","615 d 19 h","APPLICATION SVR1 - Datastore usage on disk","2022-08-29 14:12:26","2022-09-11 10:50:40","2022-09-11 10:50:40","Storage","closed successful","2 low","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","7427","-5987",,"0",,,"",,"2022-09-11 10:49:51","unlock","closed","0","1662882591","0","0","0","0","3","","","","","","","","","","","","","",""
"13","2022082910000032","1089","615 d 19 h","vCenter - Root user password expired.","2022-08-29 14:24:44","2022-09-11 10:45:20","2022-09-11 10:45:20","Virtualization","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021",,"0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","7415","0",,"0",,,"",,"2022-09-11 10:44:54","unlock","closed","0","1662882294","0","0","0","0","3","","","","","","","","","","","","","",""
"14","2022082910000041","1090","615 d 19 h","CREATING OF EFILLING - PERFORMANCE DATASTORE","2022-08-29 14:26:06","2022-09-11 10:46:38","2022-09-11 10:46:38","Storage","closed successful","4 high","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021",,"0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","7413","0",,"0",,,"",,"2022-09-11 10:45:36","unlock","closed","0","1662882336","0","0","0","0","3","","","","","","","","","","","","","",""
"15","2022082910000051","1091","615 d 19 h","RECREATING WEBSERVER","2022-08-29 14:34:25","2022-09-11 10:42:53","2022-09-11 10:42:53","Server","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021",,"0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","7405","0",,"0",,,"",,"2022-09-11 10:42:23","unlock","closed","0","1662882143","0","0","0","0","3","","","","","","","","","","","","","",""
"16","2022091110000019","1103","602 d 23 h","AUDIO NOT REACHABLE.","2022-09-11 10:31:58","2022-09-11 11:06:30","2022-09-11 11:06:30","Virtualization","closed successful","3 normal","charles.karani","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","0","1440",,"0",,,"",,"2022-09-11 11:06:03","unlock","closed","0","1662883563","0","0","0","0","3","","","","","","","","","","","","","",""
"17","2022091410000022","1108","599 d 14 h","ADC- Capacity Internal Datastore Upgrade","2022-09-14 19:14:09","2022-09-22 09:19:45","2022-09-22 09:19:45","Storage","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","4085","-2645",,"0",,,"",,"2022-09-22 09:18:50","unlock","closed","0","1663827530","0","0","0","0","4","","","","","","","","","","","","","",""
"18","2022091410000031","1109","599 d 14 h","ADC- Performance Internal Datastore Upgrade","2022-09-14 19:19:19","2022-09-22 09:20:31","2022-09-22 09:20:31","Storage","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021",,"0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","4081","0",,"0",,,"",,"2022-09-22 09:20:07","unlock","closed","0","1663827607","0","0","0","0","3","","","","","","","","","","","","","",""
"19","2022092210000034","1116","592 d 0 h","MIGRATING CTS PROD FROM SHARED TO LOCAL DATASTORE","2022-09-22 09:22:41","2022-11-07 13:26:48","2022-11-07 13:26:48","Virtualization","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","2022-09-22 09:22:41","0","15",,"0",,,,,"0",,"0","","0",,"","25204","-23764",,"0",,,"",,"2022-10-12 09:00:28","unlock","closed","0","1665554428","0","0","0","0","2","","","","","","","","","","","","","",""
"20","2022092210000043","1117","591 d 23 h","VMWARE VC SUPPORT : Initialize powering On","2022-09-22 09:54:50","2022-09-23 16:17:11","2022-09-23 16:17:11","Virtualization","closed successful","4 high","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","2022-09-22 09:54:51","0","14",,"0",,,,,"0",,"0","","0",,"","1162","277",,"0",,,"",,"2022-09-22 09:55:26","unlock","closed","0","1663829726","0","0","0","0","3","","","","","","","","","","","","","",""
"21","2022101210000014","1133","572 d 0 h","CREATING OF VMS ( ADC-PRINTSERVERS)","2022-10-12 08:48:58","2022-10-12 09:02:53","2022-10-12 09:02:53","Server","closed successful","3 normal","charles.karani","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","13","1426",,"0",,,"",,"2022-10-12 08:49:09","unlock","closed","0","1665553749","0","0","0","0","4","","","","","","","","","","","","","",""
"22","2024020810000016","1443","87 d 21 h","Test Ticket","2024-02-08 11:59:52","2024-02-08 12:04:51","2024-02-08 12:04:51","Network","closed successful","3 normal","Wanjii","ATLANCIS2019","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","4","1435",,"0",,,"",,"2024-02-08 12:01:24","unlock","closed","0","1707383091","0","0","0","0","3","","","","","","","","","","","","","",""
"23","2024022110000027","1447","74 d 22 h","Test Ticket -21st-02-2024","2024-02-21 11:08:33","2024-02-26 09:13:40","2024-02-26 09:13:37","Applications","closed successful","3 normal","Wanjii","ATLANCIS2019","Judicial Service Commission::JSC Virtualization 2021",,"0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","2225","0",,"0",,,"",,"2024-02-26 09:12:22","unlock","closed","0","1708928017","0","0","0","0","3","","","","","","","","","","","","","",""
"24","2022070410000045","997","671 d 19 h","Input / Output Error","2022-07-04 14:34:14","2022-07-06 23:00:18","2022-07-06 23:00:18","Virtualization","closed successful","3 normal","john.kiuna","ATLANCIS2022001","Judicial Service Commission::JSC Virtualization 2021","JSC Virtualization 2021 SLA","0","","","0","0","","0","0",,"0",,,,,"0",,"0","","0",,"","1945","-505",,"0",,,"",,"2022-07-04 14:36:05","unlock","closed","0","1656934565","0","0","0","0","5","","","","","","","","","","","","","",""
